step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
855,0.01034,1.0,,
856,0.39914,0.88889,,
857,0.61285,0.88889,,
858,0.04442,1.0,,
859,0.79204,0.77778,,
860,0.86624,0.77778,,
861,0.45356,0.88889,,
862,0.68225,0.77778,,
863,0.16889,0.88889,,
864,0.00607,1.0,,
865,0.42329,0.88889,,
866,0.39842,0.88889,,
867,0.15228,0.88889,,
868,0.52017,0.77778,,
869,0.61357,0.88889,,
870,0.00835,1.0,,
871,0.00302,1.0,,
872,0.12731,0.88889,,
873,0.01588,1.0,,
874,0.0198,1.0,,
875,0.47651,0.88889,,
876,0.17162,0.88889,,
877,0.01018,1.0,,
878,0.00526,1.0,,
879,0.0049,1.0,,
880,0.00918,1.0,,
881,0.00644,1.0,,
882,0.00695,1.0,,
883,0.01116,1.0,,
884,0.00524,1.0,,
885,0.48334,0.88889,,
886,0.00788,1.0,,
887,0.00686,1.0,,
888,0.00705,1.0,,
889,0.00235,1.0,,
890,0.00376,1.0,,
891,0.00421,1.0,,
892,0.40179,0.88889,,
893,1.39733,0.66667,,
894,0.36723,0.88889,,
895,0.02518,1.0,,
896,0.00598,1.0,,
897,0.00332,1.0,,
898,0.00287,1.0,,
899,0.00759,1.0,,
900,0.341,0.88889,,
901,0.42134,0.88889,,
902,0.57653,0.77778,,
903,0.84074,0.77778,,
904,0.03656,1.0,,
905,0.39774,0.88889,,
906,0.00582,1.0,,
907,0.00406,1.0,,
908,0.0033,1.0,,
909,0.00462,1.0,,
910,0.65262,0.77778,,
911,0.4009,0.77778,,
912,0.49054,0.88889,,
913,0.0015,1.0,,
914,0.61766,0.88889,,
915,0.01034,1.0,,
916,0.78704,0.77778,,
917,0.00253,1.0,,
918,0.0033,1.0,,
919,0.00906,1.0,,
920,0.0033,1.0,,
921,0.39824,0.88889,,
922,0.4793,0.88889,,
923,0.48627,0.88889,,
924,0.01823,1.0,,
925,0.81595,0.77778,,
926,0.23792,0.88889,,
927,0.05659,1.0,,
928,0.44933,0.88889,,
929,0.00375,1.0,,
930,0.0035,1.0,,
931,0.00298,1.0,,
932,0.1466,0.88889,,
933,0.44806,0.88889,,
934,0.03673,1.0,,
935,0.00299,1.0,,
936,0.00898,1.0,,
937,0.0053,1.0,,
938,0.65206,0.88889,,
939,0.21727,0.88889,,
940,0.53108,0.88889,,
941,0.00325,1.0,,
942,0.94904,0.77778,,
943,0.00758,1.0,,
944,0.00331,1.0,,
945,0.00284,1.0,,
946,0.74827,0.77778,,
947,0.44874,0.88889,,
948,0.42161,0.88889,,
949,0.00508,1.0,,
950,0.6591,0.88889,,
951,0.21376,0.88889,,
952,0.00286,1.0,,
953,0.42128,0.88889,,
954,0.36845,0.88889,,
955,0.53372,0.88889,,
956,0.02287,1.0,,
957,0.02604,1.0,,
958,0.00369,1.0,,
959,0.06635,1.0,,
960,0.00891,1.0,,
961,0.42361,0.88889,,
962,0.47613,0.88889,,
963,0.03054,1.0,,
964,0.7867,0.77778,,
965,0.49386,0.88889,,
966,0.51598,0.88889,,
967,0.50456,0.88889,,
968,0.00566,1.0,,
969,0.28918,0.88889,,
970,0.00358,1.0,,
971,0.01749,1.0,,
972,0.47447,0.88889,,
973,0.92157,0.77778,,
974,0.44725,0.88889,,
975,0.06888,1.0,,
976,0.00478,1.0,,
977,0.73062,0.88889,,
978,0.00246,1.0,,
979,0.00204,1.0,,
980,0.00148,1.0,,
981,0.02387,1.0,,
982,0.19065,0.88889,,
983,0.00439,1.0,,
984,0.0017,1.0,,
985,0.50438,0.88889,,
986,0.70438,0.77778,,
987,0.00495,1.0,,
988,0.00312,1.0,,
989,0.86622,0.77778,,
990,0.0009,1.0,,
991,0.39968,0.88889,,
992,0.00463,1.0,,
993,0.0096,1.0,,
994,0.00538,1.0,,
995,0.00922,1.0,,
996,0.00412,1.0,,
997,0.1924,0.88889,,
998,0.00413,1.0,,
999,0.86759,0.77778,,
